beneficiary_sk,beneficiary_id,household_id,first_name,last_name,gender,date_of_birth,age,nationality,vulnerability_status,household_size,program_enrolled,registration_date,scd_start_date,scd_end_date,is_current,record_status,biometric_verified,protection_flag,notes
34,BEN-00034,HH-0079,Fatima,Musa,Female,1966-01-08,59,Yemeni,Host Community,7,Health,2023-06-28,2023-06-28,9999-12-31,1,Active,0,0,
35,BEN-00035,HH-1452,Ibrahim,Diallo,Male,1972-11-07,52,Yemeni,Returnee,2,Cash Assistance,2022-04-01,2022-04-01,9999-12-31,1,Active,0,0,
36,BEN-00036,HH-1039,Yusuf,Kofi,Female,2014-07-28,10,Afghan,Host Community,9,Shelter,2023-09-08,2023-09-08,9999-12-31,1,Active,0,1,
37,BEN-00037,HH-1261,Zainab,Warsame,Female,2010-10-07,14,Rohingya,Refugee,5,Education,2022-12-23,2022-12-23,9999-12-31,1,Active,0,0,
38,BEN-00038,HH-0906,Ali,Jama,Female,1991-09-19,33,Congolese,Refugee,5,Cash Assistance,2024-06-23,2024-06-23,9999-12-31,1,Active,1,0,
39,BEN-00039,HH-0302,Amina,Diallo,Male,1970-02-26,54,Syrian,Stateless,2,Livelihoods,2023-02-12,2023-02-12,9999-12-31,1,Active,0,0,
40,BEN-00040,HH-1013,Ibrahim,Ahmed,Male,2014-06-12,10,South Sudanese,Refugee,7,WASH,2024-02-26,2024-02-26,9999-12-31,1,Active,0,1,
41,BEN-00041,HH-1879,Fatima,Barre,Male,1954-07-04,70,Syrian,Stateless,9,Cash Assistance,2023-05-26,2023-05-26,9999-12-31,1,Deceased,0,1,
42,BEN-00042,HH-1838,Omar,Barre,Female,1999-02-25,25,Ethiopian,IDP,11,Education,2024-07-02,2024-07-02,9999-12-31,1,Inactive,0,1,
43,BEN-00043,HH-0563,Mariam,Osman,Female,2006-03-25,18,Sudanese,Host Community,6,Cash Assistance,2023-05-05,2023-05-05,9999-12-31,1,Transferred,1,0,
44,BEN-00044,HH-0785,Omar,Ahmed,Male,1963-07-14,61,Afghan,Returnee,6,Livelihoods,2023-04-19,2023-04-19,9999-12-31,1,Active,1,1,
45,BEN-00045,HH-1755,Zainab,Kofi,Female,1984-12-10,40,South Sudanese,Host Community,5,Protection,2022-02-10,2022-02-10,9999-12-31,1,Transferred,0,0,
46,BEN-00046,HH-0559,Ibrahim,Barre,Male,1993-10-20,31,Afghan,Host Community,11,Protection,2023-03-26,2023-03-26,9999-12-31,1,Inactive,0,0,
47,BEN-00047,HH-0056,Ibrahim,Musa,Male,2005-10-29,19,Somali,Returnee,3,Livelihoods,2024-12-29,2024-12-29,9999-12-31,1,Active,0,1,
48,BEN-00048,HH-0932,Halima,Ndlovu,Female,1979-05-15,45,Ethiopian,Returnee,5,Health,2023-03-10,2023-03-10,9999-12-31,1,Active,0,0,
49,BEN-00049,HH-1332,Fatima,Diallo,Male,1981-05-25,43,Sudanese,IDP,1,Shelter,2023-04-05,2023-04-05,9999-12-31,1,Active,0,0,
50,BEN-00050,HH-0953,Yusuf,Ndlovu,Male,2000-08-06,24,Nigerian,Stateless,12,Health,2023-03-23,2023-03-23,9999-12-31,1,Inactive,1,0,
51,BEN-00051,HH-1903,Yusuf,Musa,Female,1959-09-13,65,Afghan,IDP,2,WASH,2022-02-22,2022-02-22,9999-12-31,1,Active,0,0,
52,BEN-00052,HH-0712,Hassan,Kofi,Female,2000-10-09,24,Somali,Stateless,11,Cash Assistance,2022-03-26,2022-03-26,9999-12-31,1,Active,0,1,
53,BEN-00053,HH-1968,Halima,Barre,Male,1959-06-21,65,Afghan,IDP,12,Education,2024-06-06,2024-06-06,9999-12-31,1,Active,0,1,
54,BEN-00054,HH-1692,Zainab,Warsame,Female,1991-09-15,33,Sudanese,Refugee,5,Livelihoods,2024-06-11,2024-06-11,9999-12-31,1,Active,0,1,
55,BEN-00055,HH-1013,Halima,Mohamed,Female,1980-03-07,44,Sudanese,Host Community,5,Cash Assistance,2022-02-28,2022-02-28,9999-12-31,1,Active,0,0,
56,BEN-00056,HH-1059,Ali,Osman,Male,1999-11-12,25,Afghan,Returnee,9,WASH,2022-01-21,2022-01-21,9999-12-31,1,Active,0,1,
57,BEN-00057,HH-0191,Yusuf,Ahmed,Female,1990-03-17,34,Sudanese,Host Community,11,Cash Assistance,2022-02-05,2022-02-05,9999-12-31,1,Active,0,0,
58,BEN-00058,HH-0721,Mariam,Warsame,Female,1988-03-04,36,Ethiopian,IDP,2,WASH,2023-11-09,2023-11-09,9999-12-31,1,Active,0,0,
59,BEN-00059,HH-1513,Mariam,Warsame,Female,1967-03-09,57,Somali,IDP,5,WASH,2023-03-20,2023-03-20,9999-12-31,1,Active,0,0,
60,BEN-00060,HH-0260,Yusuf,Diallo,Male,2013-07-09,11,Rohingya,Host Community,12,Shelter,2024-12-29,2024-12-29,9999-12-31,1,Active,0,0,
61,BEN-00061,HH-0962,Mariam,Barre,Female,1951-02-06,73,Congolese,Refugee,5,Livelihoods,2023-08-06,2023-08-06,9999-12-31,1,Active,1,1,
62,BEN-00062,HH-1182,Amina,Mohamed,Male,1994-02-12,30,Nigerian,Host Community,2,WASH,2022-06-01,2022-06-01,9999-12-31,1,Active,0,0,
63,BEN-00063,HH-0780,Mariam,Barre,Female,2019-08-04,5,Nigerian,Returnee,5,Food Security,2024-12-06,2024-12-06,9999-12-31,1,Active,0,0,
64,BEN-00064,HH-1282,Ali,Warsame,Male,2018-06-06,6,Congolese,IDP,3,Health,2023-03-02,2023-03-02,9999-12-31,1,Active,0,1,
65,BEN-00065,HH-0597,Amina,Ahmed,Female,2011-11-06,13,Ethiopian,Returnee,2,WASH,2024-08-20,2024-08-20,9999-12-31,1,Transferred,0,0,
66,BEN-00066,HH-1116,Ali,Mohamed,Female,1988-02-21,36,Congolese,Refugee,1,Shelter,2022-08-24,2022-08-24,9999-12-31,1,Inactive,0,0,
67,BEN-00067,HH-0960,Yusuf,Kofi,Female,1989-05-26,35,Rohingya,Stateless,8,Livelihoods,2022-09-12,2022-09-12,9999-12-31,1,Active,1,1,
68,BEN-00068,HH-1237,Yusuf,Diallo,Male,2015-11-25,9,Sudanese,Stateless,10,Food Security,2023-10-23,2023-10-23,9999-12-31,1,Deceased,0,0,
69,BEN-00069,HH-1563,Omar,Barre,Female,2001-09-12,23,Ethiopian,IDP,10,Protection,2022-03-24,2022-03-24,9999-12-31,1,Active,0,0,
70,BEN-00070,HH-0837,Halima,Ndlovu,Male,1992-03-02,32,Congolese,Host Community,7,Livelihoods,2023-12-14,2023-12-14,9999-12-31,1,Active,0,0,
71,BEN-00071,HH-0645,Yusuf,Ndlovu,Male,1990-10-21,34,Afghan,Stateless,1,Livelihoods,2022-06-30,2022-06-30,9999-12-31,1,Active,1,0,
72,BEN-00072,HH-1281,Mariam,Diallo,Male,2005-11-10,19,Ethiopian,Stateless,3,Education,2024-10-17,2024-10-17,9999-12-31,1,Active,0,1,
73,BEN-00073,HH-1994,Zainab,Ahmed,Male,1960-11-22,64,Ethiopian,Stateless,1,Protection,2022-03-01,2022-03-01,9999-12-31,1,Active,1,1,
74,BEN-00074,HH-1021,Yusuf,Jama,Female,1960-07-16,64,Afghan,Returnee,8,WASH,2022-11-12,2022-11-12,9999-12-31,1,Active,1,1,
75,BEN-00075,HH-1529,Omar,Osman,Female,1967-02-06,57,Afghan,Host Community,9,Education,2024-11-06,2024-11-06,9999-12-31,1,Inactive,0,0,
76,BEN-00076,HH-1773,Omar,Barre,Female,2002-08-28,22,Yemeni,Host Community,9,Protection,2024-09-29,2024-09-29,9999-12-31,1,Active,0,0,
77,BEN-00077,HH-1172,Ibrahim,Ahmed,Female,2012-07-29,12,South Sudanese,Host Community,12,Livelihoods,2023-05-05,2023-05-05,9999-12-31,1,Inactive,0,1,
78,BEN-00078,HH-1015,Amina,Mohamed,Female,2009-07-17,15,Somali,Returnee,2,Livelihoods,2022-11-08,2022-11-08,9999-12-31,1,Active,1,1,
79,BEN-00079,HH-0154,Mariam,Warsame,Female,2008-09-28,16,Nigerian,Returnee,11,Health,2022-11-13,2022-11-13,9999-12-31,1,Transferred,0,1,
80,BEN-00080,HH-1787,Hassan,Diallo,Male,1978-05-30,46,Sudanese,Host Community,4,Health,2024-09-26,2024-09-26,9999-12-31,1,Active,1,0,
81,BEN-00081,HH-1422,Yusuf,Diallo,Male,1989-10-21,35,Yemeni,Refugee,5,Cash Assistance,2022-12-07,2022-12-07,9999-12-31,1,Active,1,0,
82,BEN-00082,HH-1160,Omar,Mohamed,Male,1997-08-27,27,Somali,Stateless,7,WASH,2024-04-23,2024-04-23,9999-12-31,1,Active,0,0,
83,BEN-00083,HH-1307,Yusuf,Barre,Female,1970-10-31,54,South Sudanese,Returnee,5,Shelter,2024-08-02,2024-08-02,9999-12-31,1,Active,0,0,
84,BEN-00084,HH-1414,Yusuf,Barre,Female,2007-04-28,17,Sudanese,Returnee,8,Health,2024-05-18,2024-05-18,9999-12-31,1,Active,0,0,
85,BEN-00085,HH-1433,Yusuf,Diallo,Female,2001-07-27,23,Ethiopian,Refugee,10,Food Security,2023-08-29,2023-08-29,9999-12-31,1,Transferred,0,1,
86,BEN-00086,HH-1244,Halima,Ahmed,Male,1975-09-05,49,Nigerian,Host Community,11,Shelter,2023-04-17,2023-04-17,9999-12-31,1,Active,0,0,
87,BEN-00087,HH-0069,Zainab,Ndlovu,Male,1977-09-19,47,Somali,Host Community,6,Protection,2024-06-21,2024-06-21,9999-12-31,1,Active,1,0,
88,BEN-00088,HH-1871,Yusuf,Mohamed,Female,1997-08-16,27,Syrian,Host Community,12,Cash Assistance,2024-10-24,2024-10-24,9999-12-31,1,Inactive,0,0,
89,BEN-00089,HH-1762,Ibrahim,Jama,Female,1962-08-18,62,Somali,Returnee,1,Education,2023-04-08,2023-04-08,9999-12-31,1,Active,0,0,
90,BEN-00090,HH-1198,Ibrahim,Ndlovu,Male,2010-05-13,14,Sudanese,Returnee,1,Cash Assistance,2023-06-21,2023-06-21,9999-12-31,1,Transferred,1,0,
91,BEN-00091,HH-1863,Yusuf,Kofi,Male,2007-01-02,18,Congolese,Refugee,1,Education,2024-08-08,2024-08-08,9999-12-31,1,Deceased,1,0,
92,BEN-00092,HH-0796,Mariam,Ndlovu,Female,1971-01-24,53,Nigerian,IDP,7,Health,2022-10-05,2022-10-05,9999-12-31,1,Inactive,0,1,
93,BEN-00093,HH-1414,Halima,Ahmed,Female,1975-02-05,49,Syrian,IDP,6,Health,2022-03-09,2022-03-09,9999-12-31,1,Deceased,0,0,
94,BEN-00094,HH-0566,Ali,Osman,Female,1955-06-08,69,Somali,IDP,11,Food Security,2024-03-26,2024-03-26,9999-12-31,1,Active,0,0,
95,BEN-00095,HH-0141,Hassan,Ahmed,Male,1961-04-19,63,Sudanese,Host Community,3,Food Security,2023-02-25,2023-02-25,9999-12-31,1,Active,1,0,
96,BEN-00096,HH-1636,Omar,Osman,Male,1998-06-19,26,Congolese,Refugee,6,WASH,2023-05-29,2023-05-29,9999-12-31,1,Active,1,0,
97,BEN-00097,HH-0260,Ibrahim,Jama,Male,1973-10-22,51,Somali,Returnee,8,Cash Assistance,2022-04-18,2022-04-18,9999-12-31,1,Active,1,1,
98,BEN-00098,HH-1937,Zainab,Diallo,Female,1995-03-15,29,Syrian,Refugee,1,Livelihoods,2023-03-30,2023-03-30,9999-12-31,1,Inactive,0,0,
99,BEN-00099,HH-0151,Fatima,Ndlovu,Male,1993-12-26,31,Somali,IDP,5,Cash Assistance,2024-06-27,2024-06-27,9999-12-31,1,Active,0,0,
100,BEN-00100,HH-1240,Ibrahim,Osman,Male,1990-09-15,34,Rohingya,IDP,7,Livelihoods,2024-11-01,2024-11-01,9999-12-31,1,Transferred,0,0,
101,BEN-00101,HH-0852,Fatima,Ndlovu,Female,1990-09-08,34,Yemeni,Host Community,6,Shelter,2024-03-27,2024-03-27,9999-12-31,1,Active,0,0,
102,BEN-00102,HH-0191,Ibrahim,Osman,Female,1958-03-09,66,Congolese,Stateless,1,Cash Assistance,2022-06-24,2022-06-24,9999-12-31,1,Active,0,0,
103,BEN-00103,HH-1778,Amina,Warsame,Female,2009-09-09,15,Yemeni,Refugee,10,WASH,2024-05-16,2024-05-16,9999-12-31,1,Active,0,0,
104,BEN-00104,HH-1732,Hassan,Ndlovu,Male,1959-09-17,65,Ethiopian,Stateless,4,Protection,2023-12-19,2023-12-19,9999-12-31,1,Inactive,0,0,
105,BEN-00105,HH-0060,Omar,Warsame,Female,2004-08-20,20,Yemeni,Host Community,1,Shelter,2023-07-02,2023-07-02,9999-12-31,1,Transferred,0,1,
106,BEN-00106,HH-1518,Amina,Osman,Male,1956-03-30,68,Afghan,Returnee,8,Cash Assistance,2022-10-18,2022-10-18,9999-12-31,1,Active,0,0,
107,BEN-00107,HH-1810,Amina,Mohamed,Male,2019-09-11,5,Nigerian,Refugee,11,Health,2022-06-23,2022-06-23,9999-12-31,1,Active,0,1,
108,BEN-00108,HH-0849,Yusuf,Ahmed,Male,1993-07-28,31,Yemeni,Returnee,2,Education,2024-06-24,2024-06-24,9999-12-31,1,Active,0,1,
109,BEN-00109,HH-0094,Ali,Kofi,Male,1997-04-10,27,South Sudanese,IDP,5,WASH,2023-09-24,2023-09-24,9999-12-31,1,Inactive,0,0,
110,BEN-00110,HH-0016,Mariam,Kofi,Male,1979-06-09,45,Congolese,Returnee,9,WASH,2022-09-03,2022-09-03,9999-12-31,1,Active,0,0,
111,BEN-00111,HH-1765,Amina,Kofi,Male,1956-06-19,68,Syrian,Refugee,6,Protection,2024-03-24,2024-03-24,9999-12-31,1,Active,0,1,
112,BEN-00112,HH-0830,Amina,Ndlovu,Male,1975-12-22,49,Nigerian,Returnee,12,Cash Assistance,2022-08-24,2022-08-24,9999-12-31,1,Active,1,0,
113,BEN-00113,HH-1074,Fatima,Kofi,Female,1989-02-01,35,Yemeni,IDP,6,Shelter,2024-03-31,2024-03-31,9999-12-31,1,Active,0,0,
114,BEN-00114,HH-0398,Halima,Ndlovu,Male,1997-08-08,27,Sudanese,Refugee,3,Education,2024-11-10,2024-11-10,9999-12-31,1,Active,0,0,
115,BEN-00115,HH-0363,Mariam,Barre,Female,2018-03-15,6,Nigerian,Stateless,6,Cash Assistance,2022-06-04,2022-06-04,9999-12-31,1,Active,1,1,
116,BEN-00116,HH-1631,Yusuf,Musa,Male,1989-09-03,35,Yemeni,Stateless,2,Education,2023-09-13,2023-09-13,9999-12-31,1,Active,1,0,
117,BEN-00117,HH-0158,Fatima,Musa,Female,1983-01-30,41,Syrian,Stateless,9,Food Security,2023-08-11,2023-08-11,9999-12-31,1,Active,0,0,
118,BEN-00118,HH-1027,Omar,Diallo,Female,1978-11-05,46,Somali,Host Community,12,Health,2024-09-01,2024-09-01,9999-12-31,1,Active,1,0,
119,BEN-00119,HH-0900,Hassan,Jama,Male,1972-03-24,52,Yemeni,Host Community,5,Protection,2024-06-15,2024-06-15,9999-12-31,1,Active,0,0,
120,BEN-00120,HH-0135,Halima,Osman,Female,2006-08-07,18,Ethiopian,Host Community,12,Shelter,2023-11-17,2023-11-17,9999-12-31,1,Active,0,0,
121,BEN-00121,HH-1982,Ibrahim,Mohamed,Male,1981-05-20,43,Ethiopian,Stateless,7,Cash Assistance,2023-09-28,2023-09-28,9999-12-31,1,Inactive,0,0,
122,BEN-00122,HH-1042,Halima,Diallo,Female,2007-12-16,17,Ethiopian,IDP,4,Cash Assistance,2024-05-17,2024-05-17,9999-12-31,1,Transferred,0,0,
123,BEN-00123,HH-0318,Fatima,Warsame,Male,1970-04-29,54,Rohingya,Stateless,12,Food Security,2022-10-09,2022-10-09,9999-12-31,1,Active,0,0,
124,BEN-00124,HH-0316,Omar,Mohamed,Male,2003-08-01,21,Syrian,Refugee,7,Cash Assistance,2024-02-11,2024-02-11,9999-12-31,1,Active,1,1,
125,BEN-00125,HH-1541,Mariam,Ahmed,Male,2004-10-11,20,Ethiopian,Returnee,4,Cash Assistance,2023-08-07,2023-08-07,9999-12-31,1,Active,0,1,
126,BEN-00126,HH-1594,Ibrahim,Jama,Female,1991-06-03,33,Congolese,IDP,10,Shelter,2023-08-01,2023-08-01,9999-12-31,1,Transferred,1,1,
127,BEN-00127,HH-1457,Hassan,Osman,Female,1983-04-21,41,Somali,IDP,5,Livelihoods,2022-07-30,2022-07-30,9999-12-31,1,Transferred,1,1,
128,BEN-00128,HH-1673,Mariam,Ndlovu,Male,1958-03-25,66,Afghan,Refugee,7,Cash Assistance,2023-03-31,2023-03-31,9999-12-31,1,Active,1,0,
129,BEN-00129,HH-0653,Fatima,Ndlovu,Male,1970-02-22,54,Congolese,Refugee,5,Livelihoods,2022-02-27,2022-02-27,9999-12-31,1,Active,1,1,
130,BEN-00130,HH-1856,Fatima,Diallo,Female,1990-03-31,34,Sudanese,IDP,9,Protection,2022-01-11,2022-01-11,9999-12-31,1,Active,0,0,
131,BEN-00131,HH-0098,Ali,Kofi,Female,1977-01-07,48,Somali,Refugee,8,Food Security,2022-09-07,2022-09-07,9999-12-31,1,Active,0,0,
132,BEN-00132,HH-0597,Ibrahim,Diallo,Female,2014-06-19,10,Sudanese,Stateless,7,Shelter,2022-10-22,2022-10-22,9999-12-31,1,Active,1,0,
133,BEN-00133,HH-1115,Hassan,Jama,Male,1956-01-27,68,Afghan,Returnee,1,Protection,2024-12-13,2024-12-13,9999-12-31,1,Deceased,0,0,
134,BEN-00134,HH-0707,Ali,Osman,Female,1982-01-14,42,Congolese,Refugee,6,Cash Assistance,2022-05-19,2022-05-19,9999-12-31,1,Inactive,1,1,
135,BEN-00135,HH-1294,Omar,Mohamed,Male,2012-05-21,12,Syrian,Refugee,5,WASH,2024-09-07,2024-09-07,9999-12-31,1,Active,1,0,
136,BEN-00136,HH-1056,Ibrahim,Jama,Female,1978-04-25,46,Ethiopian,Refugee,11,WASH,2023-09-28,2023-09-28,9999-12-31,1,Active,1,0,
137,BEN-00137,HH-1638,Halima,Kofi,Female,1974-07-06,50,Syrian,Returnee,6,Shelter,2022-09-12,2022-09-12,9999-12-31,1,Active,0,0,
138,BEN-00138,HH-1641,Fatima,Kofi,Male,1996-08-02,28,Afghan,Stateless,3,Education,2023-07-01,2023-07-01,9999-12-31,1,Active,1,0,
139,BEN-00139,HH-0628,Mariam,Musa,Female,2009-04-18,15,Congolese,Returnee,6,Livelihoods,2023-08-29,2023-08-29,9999-12-31,1,Active,0,1,
140,BEN-00140,HH-0154,Ibrahim,Ndlovu,Male,1974-08-19,50,South Sudanese,IDP,10,Livelihoods,2022-04-28,2022-04-28,9999-12-31,1,Active,1,0,
141,BEN-00141,HH-0742,Ibrahim,Musa,Male,2019-11-05,5,Nigerian,IDP,11,Livelihoods,2024-01-21,2024-01-21,9999-12-31,1,Transferred,0,1,
142,BEN-00142,HH-1176,Omar,Jama,Female,2018-06-17,6,Afghan,Host Community,11,Education,2022-06-07,2022-06-07,9999-12-31,1,Active,1,0,
143,BEN-00143,HH-1023,Hassan,Kofi,Male,2016-01-01,9,Ethiopian,Host Community,12,Livelihoods,2023-01-17,2023-01-17,9999-12-31,1,Active,0,0,
144,BEN-00144,HH-0410,Fatima,Mohamed,Male,2012-04-05,12,Syrian,IDP,12,Livelihoods,2024-10-02,2024-10-02,9999-12-31,1,Deceased,0,0,
145,BEN-00145,HH-1454,Fatima,Jama,Female,2009-11-30,15,Ethiopian,IDP,12,Shelter,2023-12-13,2023-12-13,9999-12-31,1,Inactive,0,0,
146,BEN-00146,HH-1623,Omar,Ahmed,Female,1960-11-20,64,South Sudanese,Host Community,9,Cash Assistance,2023-02-16,2023-02-16,9999-12-31,1,Active,0,0,
147,BEN-00147,HH-0135,Yusuf,Kofi,Female,2004-11-25,20,Rohingya,Returnee,7,Health,2022-06-26,2022-06-26,9999-12-31,1,Active,0,0,
148,BEN-00148,HH-1393,Hassan,Ndlovu,Male,1990-05-15,34,Rohingya,Stateless,3,Shelter,2024-08-12,2024-08-12,9999-12-31,1,Active,1,0,
149,BEN-00149,HH-0623,Omar,Mohamed,Female,1996-06-25,28,Sudanese,Host Community,9,Education,2022-11-10,2022-11-10,9999-12-31,1,Inactive,0,0,
150,BEN-00150,HH-0257,Yusuf,Musa,Male,2006-12-22,18,Rohingya,IDP,10,Shelter,2023-07-17,2023-07-17,9999-12-31,1,Active,0,0,
151,BEN-00151,HH-1691,Amina,Osman,Male,2000-07-25,24,Nigerian,Host Community,11,WASH,2022-03-26,2022-03-26,9999-12-31,1,Inactive,0,0,
152,BEN-00152,HH-1315,Yusuf,Barre,Male,1994-09-06,30,Afghan,Host Community,8,Health,2023-08-17,2023-08-17,9999-12-31,1,Active,1,1,
153,BEN-00153,HH-0952,Ali,Ndlovu,Male,1987-04-16,37,Yemeni,Host Community,12,Cash Assistance,2024-09-18,2024-09-18,9999-12-31,1,Deceased,1,0,
154,BEN-00154,HH-0654,Ali,Barre,Male,1996-03-14,28,Ethiopian,Returnee,4,Shelter,2022-08-06,2022-08-06,9999-12-31,1,Active,0,1,
155,BEN-00155,HH-0509,Omar,Ndlovu,Female,2005-03-17,19,Sudanese,IDP,8,Livelihoods,2024-05-06,2024-05-06,9999-12-31,1,Active,0,1,
156,BEN-00156,HH-1936,Ibrahim,Jama,Female,1952-01-30,72,Sudanese,IDP,10,Cash Assistance,2022-07-04,2022-07-04,9999-12-31,1,Active,0,1,
157,BEN-00157,HH-0586,Hassan,Diallo,Male,2003-08-10,21,Afghan,IDP,5,Cash Assistance,2024-08-21,2024-08-21,9999-12-31,1,Inactive,0,0,
158,BEN-00158,HH-1168,Hassan,Ahmed,Female,1985-12-09,39,Rohingya,Host Community,2,Protection,2022-04-15,2022-04-15,9999-12-31,1,Active,0,0,
159,BEN-00159,HH-0264,Fatima,Kofi,Female,2005-11-30,19,Yemeni,Stateless,6,Shelter,2022-09-01,2022-09-01,9999-12-31,1,Active,0,1,
